Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
6000,0.4617,
5999.88,0.463,
5999.75,0.4636,
5999.63,0.4637,
5999.5,0.4635,
5999.38,0.4633,
5999.25,0.4634,
5999.13,0.4638,
5999,0.4643,
5998.88,0.4647,
5998.75,0.4649,
5998.63,0.4652,
5998.5,0.466,
5998.38,0.4668,
5998.25,0.4669,
5998.13,0.4659,
5998,0.4639,
5997.88,0.4616,
5997.75,0.4598,
5997.63,0.4593,
5997.5,0.4599,
5997.38,0.4612,
5997.25,0.4624,
5997.13,0.4636,
5997,0.4646,
5996.88,0.4651,
5996.75,0.4649,
5996.63,0.4641,
5996.5,0.4635,
5996.38,0.4631,
5996.25,0.4631,
5996.13,0.4635,
5996,0.4643,
5995.88,0.4654,
5995.75,0.4662,
5995.63,0.4663,
5995.5,0.4659,
5995.38,0.4654,
5995.25,0.4648,
5995.13,0.4643,
5995,0.4637,
5994.88,0.4631,
5994.75,0.4624,
5994.63,0.462,
5994.5,0.462,
5994.38,0.4621,
5994.25,0.4623,
5994.13,0.4624,
5994,0.4626,
5993.88,0.4629,
5993.75,0.4629,
5993.63,0.4627,
5993.5,0.4625,
5993.38,0.4628,
5993.25,0.4634,
5993.13,0.4635,
5993,0.4632,
5992.88,0.4627,
5992.75,0.4624,
5992.63,0.4625,
5992.5,0.463,
5992.38,0.4635,
5992.25,0.4638,
5992.13,0.4639,
5992,0.4642,
5991.88,0.4648,
5991.75,0.4649,
5991.63,0.4643,
5991.5,0.4635,
5991.38,0.4631,
5991.25,0.4631,
5991.13,0.4629,
5991,0.4625,
5990.88,0.4618,
5990.75,0.4611,
5990.63,0.4605,
5990.5,0.4602,
5990.38,0.4601,
5990.25,0.4603,
5990.13,0.4609,
5990,0.4619,
5989.88,0.4634,
5989.75,0.4649,
5989.63,0.4658,
5989.5,0.466,
5989.38,0.4659,
5989.25,0.466,
5989.13,0.4662,
5989,0.4663,
5988.88,0.466,
5988.75,0.4653,
5988.63,0.4646,
5988.5,0.4638,
5988.38,0.4628,
5988.25,0.4617,
5988.13,0.4606,
5988,0.4598,
5987.88,0.4591,
5987.75,0.4581,
5987.63,0.4574,
5987.5,0.4578,
5987.38,0.4597,
5987.25,0.4621,
5987.13,0.4638,
5987,0.4644,
5986.88,0.4643,
5986.75,0.4641,
5986.63,0.4637,
5986.5,0.4631,
5986.38,0.4628,
5986.25,0.4629,
5986.13,0.4632,
5986,0.4635,
5985.88,0.4637,
